epoch,accuracy,loss,val_accuracy,val_loss
0,0.7968977689743042,0.5488538146018982,0.8390560746192932,0.44387495517730713
1,0.8360179662704468,0.4592466354370117,0.8627867102622986,0.409137487411499
2,0.8495072722434998,0.42869073152542114,0.8737018704414368,0.38670700788497925
3,0.8565557599067688,0.41127586364746094,0.880065381526947,0.37164372205734253
4,0.8624442219734192,0.39738473296165466,0.8852357864379883,0.35911422967910767
5,0.8662004470825195,0.38646265864372253,0.8888152241706848,0.3492254614830017
6,0.8711056709289551,0.37816646695137024,0.8931459784507751,0.34989863634109497
7,0.8730058670043945,0.36909788846969604,0.8894780874252319,0.34963640570640564
8,0.8764859437942505,0.3618025779724121,0.8921737670898438,0.3465343117713928
9,0.8778116703033447,0.355445921421051,0.8951345682144165,0.3371908366680145
