epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.877354621887207,0.6854937076568604,0.5117225646972656,0.807135283946991
1,0.4462728500366211,0.8343088030815125,0.2822630703449249,0.9102790355682373
2,0.3156161904335022,0.911909282207489,0.2252502739429474,0.9254680275917053
3,0.24943360686302185,0.9198919534683228,0.26289933919906616,0.9260861873626709
4,0.25313320755958557,0.9183796644210815,0.23993581533432007,0.9282056093215942
5,0.23611938953399658,0.9204562902450562,0.2152450531721115,0.9289120435714722
6,0.23227500915527344,0.9205087423324585,0.21651896834373474,0.9296185374259949
7,0.23065347969532013,0.9206827878952026,0.22122059762477875,0.9291769862174988
8,0.22522225975990295,0.9202619791030884,0.22262710332870483,0.9256446361541748
9,0.22317644953727722,0.9206493496894836,0.22018194198608398,0.9283822178840637
