epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.8890025019645691,0.6740890741348267,0.4744910001754761,0.8257092833518982
1,0.4607091546058655,0.8400965929031372,0.22886019945144653,0.9265221357345581
2,0.333666056394577,0.9073331952095032,0.17781566083431244,0.9399904608726501
3,0.2629941403865814,0.9177738428115845,0.2004818171262741,0.9414249062538147
4,0.26029765605926514,0.9161770939826965,0.20932653546333313,0.9385559558868408
5,0.2484089583158493,0.9176324605941772,0.17810778319835663,0.9415045976638794
6,0.236983060836792,0.9188804626464844,0.1710972785949707,0.9433375597000122
7,0.23501721024513245,0.9190271496772766,0.17894095182418823,0.9409467577934265
8,0.23173168301582336,0.9180209040641785,0.18258461356163025,0.9406279921531677
9,0.22833247482776642,0.9192605018615723,0.17751620709896088,0.9409467577934265
