epoch,accuracy,loss,val_accuracy,val_loss
0,0.7930134534835815,0.5556591749191284,0.8413393497467041,0.45206642150878906
1,0.8323694467544556,0.46525925397872925,0.8649592995643616,0.39400237798690796
2,0.8466676473617554,0.43437930941581726,0.8736287951469421,0.3789422810077667
3,0.8550386428833008,0.41500547528266907,0.8818117380142212,0.3622821271419525
4,0.8601364493370056,0.40105533599853516,0.8851291537284851,0.35454776883125305
5,0.865156888961792,0.390142023563385,0.8890658020973206,0.35274049639701843
6,0.8690493106842041,0.38069018721580505,0.8912332057952881,0.3349613845348358
7,0.872742772102356,0.37244343757629395,0.8933563232421875,0.3398189842700958
8,0.8752971887588501,0.3653727173805237,0.8947717547416687,0.3338279724121094
9,0.8775972723960876,0.358945369720459,0.8949486613273621,0.3351152539253235
