epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.8123002052307129,0.7658481597900391,0.4667057394981384,0.8266221880912781
1,0.45568904280662537,0.831002414226532,0.29448261857032776,0.8864268064498901
2,0.3606332242488861,0.8968598246574402,0.23275011777877808,0.9258200526237488
3,0.2747693657875061,0.9145814776420593,0.23904946446418762,0.9320149421691895
4,0.25827518105506897,0.9170692563056946,0.21600310504436493,0.9325708746910095
5,0.24816784262657166,0.9181930422782898,0.19396217167377472,0.9343181848526001
6,0.24183118343353271,0.9177657961845398,0.19328774511814117,0.9346358776092529
7,0.2349836826324463,0.9183791875839233,0.19865566492080688,0.9324120283126831
8,0.2306801825761795,0.9185236096382141,0.1926954984664917,0.9295528531074524
9,0.22890932857990265,0.9182325601577759,0.19035282731056213,0.9302676320075989
