epoch,accuracy,loss,val_accuracy,val_loss
0,0.7909121513366699,0.5590230822563171,0.8220244646072388,0.4802646040916443
1,0.8301223516464233,0.4692184329032898,0.8598887920379639,0.41865697503089905
2,0.8447608351707458,0.4373341500759125,0.8666073679924011,0.3972230553627014
3,0.85399329662323,0.4182119071483612,0.8699888586997986,0.40194451808929443
4,0.8596329092979431,0.40486857295036316,0.8749721646308899,0.38901540637016296
5,0.8642825484275818,0.39438512921333313,0.8800445199012756,0.37773701548576355
6,0.8676863312721252,0.38462603092193604,0.8816462755203247,0.3686020076274872
7,0.8705561757087708,0.3762359619140625,0.8848498463630676,0.3679482936859131
8,0.8732814192771912,0.3688810169696808,0.8864516019821167,0.365416556596756
9,0.8756618499755859,0.36252138018608093,0.889032244682312,0.35878273844718933
