epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.9118748307228088,0.6816194653511047,0.5287648439407349,0.804103672504425
1,0.4748435914516449,0.8325813412666321,0.3062453269958496,0.8980832695960999
2,0.3645785450935364,0.9012934565544128,0.21995796263217926,0.9288187026977539
3,0.2819681465625763,0.914415717124939,0.25495126843452454,0.9247657060623169
4,0.2727710008621216,0.9131914973258972,0.24875563383102417,0.9286498427391052
5,0.2575194537639618,0.916303277015686,0.22142967581748962,0.9311829805374146
6,0.24549534916877747,0.9169187545776367,0.2132343202829361,0.9313518404960632
7,0.246171772480011,0.9168813824653625,0.21341514587402344,0.930591881275177
8,0.24016106128692627,0.9163517951965332,0.2190743088722229,0.9294098019599915
9,0.23793931305408478,0.9157586097717285,0.22239583730697632,0.9298319816589355
