epoch,accuracy,loss,val_accuracy,val_loss
0,0.7956658601760864,0.5514868497848511,0.8398650884628296,0.45116549730300903
1,0.8311288952827454,0.4667951762676239,0.8581953644752502,0.4228202998638153
2,0.8464192748069763,0.43582552671432495,0.8710665106773376,0.38471534848213196
3,0.8548744916915894,0.41544973850250244,0.8778128027915955,0.36838674545288086
4,0.8620758652687073,0.40033504366874695,0.8820735812187195,0.36071643233299255
5,0.8657264709472656,0.3897687792778015,0.8863787651062012,0.3568333685398102
6,0.8690330982208252,0.3802625238895416,0.8867782354354858,0.3544181287288666
7,0.8722620606422424,0.3730154037475586,0.8863787651062012,0.35158771276474
8,0.8757018446922302,0.3645993769168854,0.8902844786643982,0.34188851714134216
9,0.8767781257629395,0.358988881111145,0.8908171057701111,0.34501656889915466
