epoch,loss,masked_accuracy,val_loss,val_masked_accuracy
0,0.9122970104217529,0.7048691511154175,0.47150537371635437,0.8285142779350281
1,0.45546865463256836,0.8426149487495422,0.2831853926181793,0.9085076451301575
2,0.3435131311416626,0.9049356579780579,0.21822607517242432,0.9283393025398254
3,0.2681826651096344,0.9172687530517578,0.24395142495632172,0.9315056800842285
4,0.2621287703514099,0.9184767007827759,0.23065461218357086,0.9315890073776245
5,0.24460911750793457,0.9203411936759949,0.20274010300636292,0.9320889711380005
6,0.2394789755344391,0.9202091097831726,0.19759531319141388,0.9313390254974365
7,0.23293009400367737,0.9210954904556274,0.2045416533946991,0.9304224848747253
8,0.23143328726291656,0.9199966192245483,0.20118562877178192,0.9309224486351013
9,0.22876478731632233,0.9201846122741699,0.19676107168197632,0.9307557940483093
