epoch,accuracy,loss,val_accuracy,val_loss
0,0.7948706746101379,0.5508641004562378,0.8381847143173218,0.45350223779678345
1,0.8345314860343933,0.46085187792778015,0.8550763130187988,0.4181966185569763
2,0.8504090905189514,0.42624321579933167,0.8777895569801331,0.3711696267127991
3,0.859163761138916,0.4068814218044281,0.877392590045929,0.3787243366241455
4,0.8644011616706848,0.3943833112716675,0.8860809803009033,0.3531770408153534
5,0.8673341274261475,0.38396021723747253,0.8875364065170288,0.348904550075531
6,0.8712924718856812,0.3756030201911926,0.892255425453186,0.3373364508152008
7,0.8741151690483093,0.36836233735084534,0.8908882141113281,0.34393221139907837
8,0.8771693706512451,0.36029982566833496,0.8932698369026184,0.3351801931858063
9,0.8791099786758423,0.35387903451919556,0.8923877477645874,0.34465160965919495
